rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
568,149.01,149,260985861,260985861,1,,05h06m32.61s,76.635858,-80d46m05.21s,-80.768114,-5.5,18.2,2458327.402,3.33996,4.093,4800,,831.372,1495,10.14,,5095.6,,,9/5/2018 18:35,5/20/2020 16:00
569,1490.01,1490,283474780,283474780,1,,00h52m04.24s,13.017676,+36d23m34.85s,36.393013,51.364,17.95,2458765.914,3.9943,4.876,550,11.9767,746.666,1456,8.39511,247.112,4939,,5.11,12/5/2019 21:41,5/20/2020 16:00
570,1491.01,1491,53875855,53875855.01,1,,00h58m36.71s,14.652947,+34d08m52.95s,34.148042,36.605,-50.223,2458769.161,4.49321,3.002,2680,6.23728,368.967,1220,10.3996,204.881,5899,4.29,1.23,12/5/2019 21:41,5/20/2020 16:00
571,1492.01,1492,354594208,354594208,1,FP,00h07m33.07s,1.887805,+32d26m15.11s,32.43753,-4.488,-56.056,2458765.228,0.86673,1.089,662.924988,3.54647,1519.959961,1739,9.76119,163.083,5904,4.31,1.25,12/5/2019 21:41,3/4/2020 12:58
572,1493.01,1493,15692883,15692883.01,1,CP,01h09m53.94s,17.47474,+25d40m53.94s,25.681649,-24.173,-10.702,2458764.856,5.14124,5.405,3710,18.0411,1594.76,1760,9.7116,371.414,6064,3.57,2.9,12/5/2019 21:41,5/20/2020 16:00
573,1494.01,1494,411608801,411608801,1,CP,01h15m58.87s,18.995312,+21d37m00.86s,21.616906,21.672,-9.221,2458765.604,5.02647,2.76,7280,13.2793,583.436,1369,10.3002,278.514,6434,4.21,1.48,12/5/2019 21:41,5/20/2020 16:00
574,1495.01,1495,431148743,431148743,1,FP,22h19m55.51s,334.981312,+53d39m44.99s,53.662497,-6.492,-2.622,2458738.94,2.62864,2.891,690,,113.139,908,8.706101,1610.79,3294,,,12/5/2019 21:41,7/4/2020 12:00
575,1496.01,1496,384045439,384045439,1,,21h49m06.23s,327.275942,+53d17m37.56s,53.293768,174.708,10.008,2458743.871,10.82661,6.877,5890,11.5303,760.667,1463,10.0478,78.3164,5113,4.71,0.68,12/5/2019 21:41,5/20/2020 16:00
576,1497.01,1497,371673488,371673488,1,,22h52m55.97s,343.233217,+59d51m03.42s,59.850951,4.326,-2.168,2458765.481,0.8158,2.353,390,3.69088,41590.9,3978,9.95717,405.174,8911,4.26,1.85,12/5/2019 21:41,5/20/2020 16:00
577,1498.01,1498,316402246,316402246,1,FP,21h27m53.64s,321.97348,+54d31m11.34s,54.519818,12.323,16.871,2458715.88,1.39787,2.452,6590,28.9755,31208.6,3702,9.6788,265.402,8014,4.32,1.6,12/5/2019 21:41,6/8/2020 12:00
