kepid,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,exoplanet
8958811,0,0,0,0,2.52557582,2.84e-05,-2.84e-05,133.06586,0.00851,-0.00851,0.3720000000000001,0.084,-0.3720000000000001,2.32,0.276,-0.276,35.4,4.1,-4.1,0.62,0.1,-0.04,1364.0,818.81,343.7,-145.7,10.7,1.0,5821.0,78.0,-78.0,4.421,0.054000000000000006,-0.117,1.036,0.166,-0.071,293.96545,45.273571,13.564,1
8881169,0,0,0,0,5.01880305,3.88e-05,-3.88e-05,132.25191,0.00634,-0.00634,0.172,0.28800000000000003,-0.172,1.823,0.187,-0.187,98.7,11.5,-11.5,1.08,0.37,-0.14,1178.0,455.98,450.97,-161.46,10.3,1.0,6220.0,166.0,-222.0,4.398,0.07200000000000001,-0.217,1.083,0.366,-0.147,290.21255,45.134991,14.541,1
8845552,0,0,0,0,34.0357766,0.000461,-0.000461,138.9291,0.0117,-0.0117,0.6983,0.0633,-0.4897,3.849,0.364,-0.364,387.0,50.0,-50.0,1.05,0.07,-0.1,337.0,3.06,0.9,-0.86,9.6,1.0,4367.0,136.0,-146.0,4.739,0.06,-0.06,0.501,0.035,-0.046,300.30533,45.093418,15.534,0
8807057,0,0,0,0,97.991569,0.00186,-0.00186,134.675,0.0137,-0.0137,0.711,0.252,-0.477,4.665,0.51,-0.51,127.0,18.4,-18.4,1.41,0.47,-0.16,467.0,11.21,10.53,-3.43,9.0,1.0,6499.0,144.0,-208.0,4.378,0.067,-0.21600000000000005,1.169,0.389,-0.13,286.55365,45.002338,13.65,0
8760760,0,0,0,0,2.68814059,1.57e-05,-1.57e-05,132.66869,0.0048,-0.0048,0.532,0.452,-0.32,1.12,0.171,-0.171,145.0,21.6,-21.6,0.92,0.17,-0.07,1135.0,392.64,222.36,-95.16,9.1,1.0,5636.0,152.0,-169.0,4.613,0.032,-0.12,0.7340000000000001,0.13699999999999998,-0.055,294.59918,44.927689,15.563,1
8693536,0,0,0,0,16.2347636,0.000256,-0.000256,139.9705,0.0139,-0.0139,0.046,0.404,-0.046,4.2,0.374,-0.374,116.0,12.6,-12.6,1.28,0.41,-0.16,852.0,124.25,111.35,-40.68,10.7,1.0,6478.0,160.0,-208.0,4.371,0.065,-0.195,1.188,0.37,-0.14800000000000002,293.53033,44.832771,14.299,1
8686442,0,0,0,0,26.8552365,0.000483,-0.000483,146.688,0.0137,-0.0137,0.825,0.2064,-0.5623,2.185,0.524,-0.524,194.0,50.5,-50.5,1.49,0.6,-0.13,618.0,34.48,39.95,-9.41,6.7,1.0,6045.0,150.0,-190.0,4.494,0.043,-0.043,0.955,0.381,-0.087,290.75494,44.851589,14.958,0
8625408,0,0,0,0,279.036565,0.008790000000000001,-0.008790000000000001,246.6289,0.0191,-0.0191,1.198,6.728,-0.019,31.92,1.6,-1.6,395.0,15.7,-15.7,30.25,5.32,-3.87,323.0,2.58,1.19,-0.73,31.7,1.0,6072.0,81.0,-90.0,4.285,0.103,-0.126,1.273,0.224,-0.163,292.01733,44.713268,13.054,0
8624860,0,0,0,0,15.3902613,0.000263,-0.000263,140.8602,0.0113,-0.0113,0.231,0.224,-0.231,3.431,0.395,-0.395,76.8,9.5,-9.5,4.39,0.55,-1.66,1459.0,1069.24,352.78,-687.63,9.4,1.0,5649.0,67.0,-109.0,3.282,0.255,-0.085,4.994,0.631,-1.892,291.79575,44.746181,13.808,1
8613446,0,0,0,0,1.01485981,7.070000000000001e-05,-7.070000000000001e-05,131.6159,0.0101,-0.0101,0.185,0.263,-0.185,1.65,0.238,-0.238,243.0,35.0,-35.0,1.61,0.56,-0.19,1928.0,3274.72,3380.65,-1087.03,8.4,1.0,6158.0,171.0,-236.0,4.453,0.056,-0.224,1.024,0.358,-0.119,286.91599,44.704529,15.572,0
8566113,0,0,0,0,1.371587993,6.96e-06,-6.96e-06,131.80506,0.00368,-0.00368,0.9829,0.0091,-0.0087,12.901,0.778,-0.778,456.0,49.9,-49.9,4.91,2.8,-1.09,2413.0,8016.36,14023.82,-3885.33,43.3,2.0,7045.0,194.0,-278.0,4.154,0.14800000000000002,-0.14800000000000002,1.604,0.915,-0.35600000000000004,294.20145,44.639839,13.104,0
8443812,0,0,0,0,8.361373200000001,0.000131,-0.000131,139.2515,0.0143,-0.0143,0.067,0.405,-0.067,3.649,0.38,-0.38,105.0,13.2,-13.2,0.79,0.12,-0.09,793.0,93.31,46.67,-29.43,9.5,1.0,5470.0,180.0,-163.0,4.509,0.105,-0.105,0.777,0.115,-0.094,296.38422,44.433418,15.122,0
8442795,0,0,0,0,502.20642,0.0474,-0.0474,162.9131,0.0755,-0.0755,0.9802,0.0245,-0.7023,9.39,1.6,-1.6,448.0,85.2,-85.2,2.18,0.76,-0.11,212.0,0.48,0.49,-0.1,7.1,1.0,6018.0,182.0,-164.0,4.615,0.024,-0.024,0.733,0.255,-0.038,296.05728,44.461079,14.948,0
8394475,0,0,0,0,3.64049242,2.12e-05,-2.12e-05,134.96786,0.00506,-0.00506,0.181,0.29,-0.181,1.194,0.17600000000000002,-0.17600000000000002,42.1,5.8,-5.8,0.61,0.09,-0.03,1136.0,393.32,158.33,-60.03,9.5,1.0,5745.0,78.0,-86.0,4.503,0.03,-0.12,0.936,0.14300000000000002,-0.048,300.42432,44.343601,12.646,1
8362974,0,0,0,0,2.71772323,3.97e-05,-3.97e-05,133.9451,0.0137,-0.0137,0.197,0.266,-0.197,3.22,0.726,-0.726,70.3,10.4,-10.4,0.72,0.03,-0.07,1123.0,375.05,66.46,-80.72,9.3,1.0,5135.0,84.0,-77.0,4.464,0.09,-0.036000000000000004,0.8740000000000001,0.044,-0.076,290.85971,44.350922,14.52,1
8283875,0,0,0,0,0.8002632190000001,2.21e-06,-2.21e-06,132.06683999999998,0.00238,-0.00238,0.16,0.314,-0.16,0.7290000000000001,0.102,-0.102,171.0,16.4,-16.4,0.77,0.06,-0.08,1240.0,561.84,162.76,-167.25,13.2,1.0,4336.0,118.0,-144.0,4.6560000000000015,0.059,-0.027000000000000003,0.59,0.045,-0.061,284.77267,44.249371,15.695,1
8256882,0,0,0,0,2.41194057,1.84e-05,-1.84e-05,133.01849,0.0078,-0.0078,0.579,0.39,-0.377,1.787,0.29100000000000004,-0.29100000000000004,67.3,8.1,-8.1,1.35,0.21,-0.33,1654.0,1771.98,729.6,-826.8,10.6,1.0,5598.0,83.0,-75.0,4.045,0.203,-0.087,1.594,0.245,-0.398,298.88669,44.11586,14.106,1
8248103,0,0,0,0,4.83014159,1.86e-05,-1.86e-05,134.64407,0.0034200000000000003,-0.0034200000000000003,0.034,0.4270000000000001,-0.034,0.957,0.133,-0.133,192.0,24.0,-24.0,1.3,0.35,-0.15,1039.0,275.02,218.25,-84.55,11.7,1.0,5693.0,152.0,-169.0,4.467,0.078,-0.182,0.939,0.254,-0.109,296.69574,44.150761,14.991,1
8227464,0,0,0,0,4.25907841,5.86e-05,-5.86e-05,135.5815,0.0131,-0.0131,0.362,0.098,-0.362,4.513,0.335,-0.335,28.1,2.9,-2.9,0.7,0.1,-0.15,1253.0,583.12,241.46,-235.93,11.5,1.0,5560.0,89.0,-66.0,4.173,0.201,-0.108,1.3159999999999998,0.2,-0.276,289.77121,44.139969,12.832,1
8227086,0,0,0,0,13.8086331,0.000239,-0.000239,141.60399999999996,0.0165,-0.0165,0.029,0.426,-0.029,3.613,0.428,-0.428,207.0,27.0,-27.0,1.09,0.19,-0.11,659.0,44.5,25.22,-12.38,9.0,1.0,5515.0,165.0,-165.0,4.5680000000000005,0.056,-0.112,0.7609999999999999,0.13699999999999998,-0.07400000000000001,289.62292,44.104431,15.567,0
8180290,0,0,0,0,10.9279755,0.000267,-0.000267,139.9174,0.0183,-0.0183,0.0956,0.3576,-0.0955,2.486,0.621,-0.621,71.5,12.7,-12.7,0.81,0.26,-0.08,834.0,114.42,104.63,-30.55,7.3,1.0,6045.0,143.0,-178.0,4.494,0.043,-0.043,0.955,0.306,-0.087,296.56937,44.01722,14.347,0
